# <Puzzle index>	<Unsolved percentage>	<Average solve time (ms)>
614	0.0	37841.022989246994
615	0.0	3957.8047284157947
616	0.75	60968.03190978244
617	0.0	34003.02080437541
618	0.0	15426.652104011737
619	0.0	17195.145958685316
620	0.0	41664.441628498025
621	0.5	40618.600777117535
622	0.5	11864.99793943949
623	0.0	50403.945652535185
624	0.5	18032.51351066865
625	0.0	38890.56170638651
626	0.0	27148.090450791642
627	0.25	45050.505621669196
628	0.0	13903.82584114559
629	0.0	18682.148308726028
630	0.0	21600.633083842695
631	0.0	20931.88749672845
632	0.0	10222.777061280794
633	0.0	4534.953918773681
634	1.0	0.0
635	0.0	7757.262249011546
636	0.0	18711.70964569319
637	0.0	15559.308840078302
638	0.25	47655.921243907265
639	0.0	36850.97802965902
640	0.0	29167.016183258966
641	0.0	23962.69202674739
642	0.0	48671.33959324565
643	0.0	5856.38525581453
644	0.0	21352.1800119197
645	0.75	36203.075118828565
646	0.0	32700.572456466034
647	0.0	19900.684785912745
648	0.0	42676.897551165894
649	0.0	16277.908018091694
650	0.0	40823.61436681822
651	0.0	24968.049482791685
652	0.0	31048.05776826106
653	0.5	65490.56586949155
654	0.0	57936.36871594936
655	0.0	7836.177074466832
656	0.0	12849.85289548058
657	0.0	16132.096301065758
658	0.0	18791.41170613002
659	0.0	5669.664051849395
660	0.0	13034.874046919867
661	0.5	9698.34002899006
662	0.0	30378.308256622404
663	0.25	29529.322712216526
664	0.0	32569.388820091262
665	0.0	8314.847239525989
666	0.0	27698.881656397134
667	0.0	39824.42972273566
668	0.0	57656.03431186173
669	0.0	39837.367201107554
670	0.0	45446.40030676965
671	0.0	21847.288135671988
672	0.75	31429.28416421637
673	0.0	22318.830524920486
674	0.5	20279.81706894934
675	0.0	31258.90658411663
676	0.0	8359.59520121105
677	0.0	10187.154882471077
678	0.0	13195.408919360489
679	0.25	50854.43337991213
680	1.0	0.0
681	0.25	40171.219426828124
682	0.75	6813.739105127752
683	0.25	15996.228747690717
684	0.0	30873.199706198648
685	0.0	10301.147550577298
686	0.25	37438.862134547286
687	0.0	17357.828601496294
688	0.0	28592.462496599182
689	0.0	16239.738508244045
690	0.75	77233.55123167858
691	0.5	19935.80488138832
692	0.0	5360.836577718146
693	0.0	40656.01973165758
694	0.0	3966.027925722301
695	0.0	8574.101811507717
696	0.0	30883.381332969293
697	0.25	13735.864210408181
698	0.0	39152.222694829106
699	0.0	9108.953383751214
700	0.0	16159.897904261015
701	0.0	3462.854352546856
702	0.0	16333.956667920575
703	0.0	6965.7261210959405
704	0.0	12286.619544727728
705	0.25	45933.96782176569
706	0.75	50840.71244811639
707	0.5	33311.060779495165
708	0.0	36214.93214427028
709	0.0	31482.062199735083
710	1.0	0.0
711	0.0	46080.577775486745
712	0.0	21149.16788775008
713	0.0	15897.069164551795
714	0.0	18169.248184538446
715	0.25	46086.84385490293
716	0.0	32251.424747752026
717	0.0	28289.224750478752
718	0.25	45699.5250370043
719	0.5	47549.31731033139
720	0.0	20934.922721004114
721	0.0	8249.73428552039
722	0.0	13588.946094620042
723	0.0	20442.514311289415
724	0.25	21236.72488409405
725	0.0	14328.740957425907
726	0.0	44318.53870139457
727	0.0	16047.486555413343
728	0.0	24229.954319191165
729	0.0	42613.9598635491
730	0.0	28595.322822104208
731	0.0	71327.90000899695
732	0.0	18988.280597608536
733	0.0	4659.598230733536
734	0.0	10810.176225029863
735	0.0	18339.52976902947
736	0.5	37948.892863933
737	0.0	27195.454221218824
738	0.0	41014.408158604056
739	0.5	36168.516227044165
740	0.0	16262.012655846775
741	0.25	15314.244337845594
742	0.0	24616.03675072547
743	0.0	31614.096390781924
744	0.0	26689.612033078447
745	0.0	25229.586743400432
746	0.0	31830.30515909195
747	0.0	22502.560958848335
748	0.0	18760.095076984726
749	0.0	26702.923784265295
750	0.0	26925.610488280654
751	0.0	13703.881159774028
752	0.0	19601.06252017431
753	0.0	32675.079599022865
754	0.0	29030.1573589677
755	0.25	18506.079257310677
756	0.0	6091.727787978016
757	0.0	20262.82085850835
758	0.0	8745.24387717247
759	0.0	4135.013002320193
760	1.0	0.0
761	0.0	35391.52603165712
762	0.0	9083.983510849066
763	0.75	54917.34217805788
764	0.0	16900.76849469915
765	0.25	24305.701174773276
766	0.0	7079.855754505843
767	0.0	10501.609580940567
768	0.0	36915.806400822476
769	0.0	23685.297211399302
770	0.0	28191.590265603736
771	0.0	43995.67135586403
772	0.25	40199.93539930632
773	0.5	47141.238926909864
774	0.0	29934.11643221043
775	0.0	32824.27478162572
776	0.0	28143.606757745147
777	0.0	60337.83333853353
778	0.0	20406.141027226113
779	0.25	63656.17455945661
780	0.0	24415.91396299191
781	0.0	6246.196505264379
782	0.0	7937.116890680045
783	0.0	23033.26065267902
784	0.25	47341.07418451458
785	0.25	22512.56245902429
786	0.0	12885.870643658563
