# <Puzzle index>	<Unsolved percentage>	<Average solve time (ms)>
483	0.0	51302.74523445405
484	0.25	63776.68242466947
485	0.0	27864.083416410722
486	0.25	86034.26377056167
487	0.0	11289.42572325468
488	0.0	24600.16293323133
489	0.0	7759.044064674526
490	0.0	17387.59171415586
491	1.0	-1
492	0.0	40396.24229748733
493	0.0	41133.480826043524
494	0.0	23848.826402099803
495	0.0	40997.38802504726
496	0.0	61519.62322939653
497	0.0	6085.541799198836
498	0.25	39943.55417896683
499	0.0	15021.011551260017
500	0.75	8575.351460836828
501	0.0	19628.486016881652
502	0.0	23137.721096514724
503	0.0	28099.278623238206
504	0.0	29370.76421722304
505	0.5	66141.20443305
506	0.0	27459.134423406795
507	0.0	33033.84452662431
508	0.0	18870.831844978966
509	0.5	25558.80184005946
510	0.0	14421.015867497772
511	0.0	22268.54468684178
512	0.0	35272.319369367324
513	0.0	27241.010299883783
514	0.0	17610.577326151542
515	0.0	18268.70247873012
516	0.0	22013.231238466688
517	0.25	35484.129735113434
518	0.0	35507.62419204693
519	0.25	17530.279271304607
520	0.0	20224.053158657625
521	0.0	20392.623450723477
522	0.0	16022.716064820997
523	0.0	35879.11579152569
524	0.75	50012.70891493186
525	0.0	31360.135847586207
526	0.0	14876.35638716165
527	0.5	72618.02942142822
528	0.0	12466.581906774081
529	0.0	29709.331921534613
530	0.0	42795.564004336484
531	0.25	29558.24879091233
532	0.5	47509.072568267584
533	1.0	-1
534	0.0	29081.002786639147
535	1.0	-1
536	0.0	7915.716552408412
537	0.0	28041.323847370222
538	0.0	21602.60643507354
539	0.0	7245.366211631335
540	0.5	23879.140689969063
541	0.0	33851.15964268334
542	0.0	37540.04600155167
543	0.0	33559.17768017389
544	0.0	28978.18674496375
545	0.5	12782.067496096715
546	0.5	32276.3721824158
547	0.0	35940.90739253443
548	0.25	33300.959972664714
549	0.0	29385.554122156464
550	0.0	34328.00164539367
551	0.5	6483.296173159033
552	0.25	34320.92211504156
553	0.0	60307.369080837816
554	0.0	1687.807003618218
555	0.0	32891.33892848622
556	0.0	23881.6463194089
557	1.0	-1
558	0.0	14730.355535750277
559	0.5	63251.27983628772
560	0.25	30778.923373979826
561	0.0	51898.77362677362
562	0.0	45834.20229982585
563	0.0	10460.603313636966
564	0.0	24523.877284605987
565	0.25	46670.63134831066
566	0.0	20203.951132367365
567	0.0	47588.735632714815
568	0.0	39041.91680031363
569	1.0	-1
570	0.0	50470.84149566945
571	0.0	16442.05129495822
572	0.0	8178.3665486145765
573	0.0	16166.3044935558
574	0.0	3364.6934820571914
575	0.0	47719.39174027648
576	0.0	15985.601517837495
577	0.0	15936.20835931506
578	0.5	18837.023777887225
579	0.5	24092.932677594945
580	0.0	24160.981055814773
581	0.25	13239.519840106368
582	0.0	29353.604097734205
583	0.25	32999.41793239365
584	0.25	54182.955579366535
585	0.0	21648.89344375115
586	0.0	15975.398048060015
587	0.0	23161.44837345928
588	0.0	26805.258269188926
589	0.25	47411.36229597032
590	0.0	15968.881268752739
591	0.25	35543.55204493428
592	0.0	26919.01172476355
593	0.0	27067.454862990417
594	0.0	21891.945237177424
595	0.5	41447.791904676706
596	0.0	27451.321634929627
597	0.0	36392.32320396695
598	0.0	39518.016628338955
599	0.25	32909.70812846596
600	0.0	31148.78999022767
601	0.0	16260.686224210076
602	0.75	66229.62419735268
603	0.0	12600.166129413992
604	0.25	47295.36926513538
605	0.0	33108.40256954543
606	1.0	-1
